[2020-03-18 15:09:53] main.ERROR: Error: Application is not installed yet.  [] []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_33","FPC"],"mode":"matchingTag"}} []
